patient_id,series_id,middle_z
10004,21057,128
10004,51033,131
10005,18667,120
10007,47578,127
10026,29700,110
10026,42932,111
10051,17486,112
10051,50172,97
10065,37324,104
10065,46839,119
10082,8139,114
10104,27573,130
10105,42418,94
10124,58500,116
10127,1554,85
10127,53380,106
10132,4816,103
10163,17557,119
10169,18334,96
10172,50253,90
10205,65236,93
10217,16066,99
10228,30522,84
10228,40471,159
10232,14541,187
10232,51162,109
10249,2346,104
10249,60095,154
1027,24515,161
1027,60982,91
10275,14254,104
10275,37142,159
10292,14945,107
10295,10410,99
10300,31085,105
10430,47009,105
10430,52259,170
10443,15679,135
10443,4991,130
10465,4405,112
10494,65369,89
10503,4930,102
10503,60534,98
10517,21579,42
10517,26790,160
10550,27106,174
10550,44149,97
10556,17060,99
10557,59654,109
10565,16281,120
10569,29394,112
1060,29529,101
10683,14324,100
10696,62306,129
10697,27005,78
10697,59033,83
10721,48437,91
10722,50314,104
10730,15721,103
10759,65139,85
10762,27788,114
10795,38360,110
10814,56132,123
10852,37069,105
10917,30843,82
10917,47610,92
10925,54600,92
10929,34169,95
10937,12039,124
10937,53000,152
10967,3609,102
10967,58150,105
10981,53877,101
10987,5611,115
11021,58443,128
11030,18685,117
11044,37630,55
11046,19484,165
11046,29137,101
11130,8511,101
11139,24201,110
11177,13041,122
11177,29167,102
11217,54368,100
11222,28997,121
11301,2703,97
11301,57412,164
11312,51300,111
11313,48992,108
11335,24276,96
11335,39434,168
11361,2204,120
11378,16846,101
11378,53429,100
11379,1126,118
11379,28676,109
11433,16534,92
1144,37533,126
11449,1383,103
11452,64202,103
11464,48184,119
11474,4654,108
11479,5547,109
11547,6116,125
11553,26353,111
11578,56112,106
11597,17580,108
11597,32735,164
11604,14609,100
11604,51515,150
11633,41167,120
11652,39013,123
11656,37803,119
11664,37456,108
11682,25954,124
11695,20475,92
11699,46686,107
11699,52851,107
11770,11416,104
11793,55528,131
11803,28720,188
11803,57014,96
11828,5605,124
11829,12057,93
11832,34925,92
11834,17000,151
11834,57414,100
11886,17037,110
11886,54658,107
11891,13209,95
11891,55742,172
11908,10773,106
1192,39389,99
11925,33599,91
11925,60003,120
11927,13991,110
11938,51844,108
11938,54660,107
12008,54095,96
12011,28841,114
12086,16498,102
12086,47491,59
12138,39072,186
12162,65382,85
12181,19063,151
12181,64739,74
12192,45638,102
12192,47364,102
12198,37127,94
122,21217,88
122,8218,151
12210,25323,86
12258,39773,109
12258,57371,119
12268,5102,119
12271,30378,108
12271,5223,108
12299,29733,187
12299,47275,112
1230,53360,174
12332,15276,84
12332,2793,167
12347,11403,102
12347,54841,147
12354,59633,81
12358,11810,103
12408,30860,101
12408,39209,101
12416,62482,88
12450,13297,95
12451,41994,44
12485,34212,139
12485,8754,90
12487,26638,176
12487,8913,92
1250,56073,103
12510,18649,88
12510,33610,95
12511,59780,94
12522,24336,104
12522,51893,51
12528,30483,101
12528,59967,104
12545,2971,143
12545,4718,104
12580,25755,80
12580,63770,79
12600,3309,96
12622,11637,112
12629,18097,121
12646,10065,110
12667,16083,108
12685,26417,106
12685,9181,105
12698,5060,158
12698,60031,92
12744,47219,102
1278,34096,110
12862,10468,91
12862,27408,145
12875,29304,126
12875,56431,121
12879,58126,142
12890,20535,108
12890,3231,120
12893,992,95
12898,54190,159
12898,55455,104
12930,11299,90
12930,34757,85
12951,21811,118
12958,18631,94
12967,55621,107
12976,17784,168
12976,34894,96
12997,1941,84
12997,6573,100
13012,38013,128
13036,52432,102
13036,63928,120
13067,40939,127
13083,21099,91
13098,12274,96
13098,77,106
13106,12049,42
13106,5011,55
13107,36353,89
13107,53823,162
13120,51903,92
13120,6814,61
1316,5984,113
13182,45080,123
13231,31094,114
13231,769,96
13241,32669,120
13241,33607,118
13250,26989,105
13250,64604,184
1330,32979,98
13310,45088,116
13316,41070,117
13316,48255,88
13326,29623,100
13326,32479,105
13332,20150,98
13332,25365,102
13385,34825,98
13403,64814,92
13432,11825,158
13432,59579,107
13465,47744,210
13465,50360,101
13496,317,118
13508,23781,103
13508,7482,109
13517,15777,90
1352,61032,103
13550,40313,159
13550,9858,84
13563,27583,87
13563,781,157
13571,54285,93
13585,19759,113
13589,14229,109
13604,24652,163
13604,42939,97
13615,4619,110
13620,30803,99
13623,24645,94
13646,48080,152
13646,52435,87
13657,35084,115
13695,24067,112
13698,12070,50
13698,45804,240
13719,16178,113
13719,64168,92
13728,29843,90
13728,44344,153
13741,42173,106
13741,6172,108
13769,59019,91
13769,64471,145
13794,24774,100
13794,51141,98
1381,31273,85
1381,33057,165
13818,13968,160
13818,35066,100
13847,8787,91
13853,32005,91
13853,37219,102
13857,43374,95
13921,1796,106
13921,41002,108
13953,29835,199
14018,5505,93
1403,62633,116
14052,29512,146
14052,7806,97
14063,1119,148
14063,13560,110
14065,33303,97
14091,48197,104
14102,24136,76
14135,23582,98
14178,62202,117
14251,29591,115
14251,5576,92
14281,10523,97
14309,12900,148
14309,53843,97
14321,16503,105
14321,8413,105
14343,24442,100
14343,58548,87
14351,24224,103
14351,43472,103
14371,4998,117
14385,30335,95
14388,12312,96
14388,6738,161
14393,47591,132
1440,56739,107
1440,62244,110
14425,22151,130
14429,57624,91
14452,34955,121
14452,41625,115
14465,21818,147
14469,26362,114
14469,53905,103
14517,1621,122
1452,22173,106
14520,23195,120
14543,51645,109
14590,45895,101
14590,63177,101
14601,15569,153
14601,53250,102
14616,23054,96
14616,32437,97
1464,28340,115
14654,59721,115
14676,34791,128
14676,42943,109
14678,1429,114
14684,35184,153
14684,6580,95
14709,26387,115
14729,41475,168
14729,51023,92
14759,47683,89
14780,56281,113
14784,24164,159
14784,43936,97
14788,18931,110
14788,29104,112
14790,60494,103
14790,7720,157
14806,56821,133
14807,36307,120
14817,39329,89
14831,40855,90
14831,58727,167
14846,42425,103
14870,42123,127
14908,40110,109
14924,13781,109
14950,12114,109
14963,4059,110
14989,41296,101
14989,59710,155
15006,32563,109
15022,39645,68
15035,34385,106
15035,44442,94
15040,34810,104
15057,56629,102
15089,12625,104
15090,31002,156
15090,50233,99
15109,15229,91
15109,47145,144
15114,11127,106
15114,6484,96
15117,39205,117
15127,39674,95
15132,64951,101
15141,52122,107
15151,16636,81
15160,9172,113
1518,19204,125
15185,22256,110
15185,31283,110
15188,29661,156
15188,53257,85
15226,13068,101
15226,5510,107
1523,62556,99
1526,40307,115
15335,13697,131
15347,39060,97
15362,36509,95
15385,7650,112
15398,44849,106
15398,60509,99
15404,26757,120
15415,11635,150
15419,46641,84
15425,42217,99
15425,58663,163
15438,56764,97
1546,57353,122
15463,29545,93
15472,14668,104
15480,39579,104
15480,56685,164
15492,44581,114
15511,7974,99
15529,38566,116
15541,41937,106
15545,50196,127
156,64005,93
15611,11556,142
15620,3836,163
15620,59366,105
1563,57716,163
15645,52373,90
15645,55957,143
15697,58637,101
15700,45131,120
15758,46001,96
15773,32127,105
15773,57350,172
15783,43871,157
15809,29821,90
15809,63526,114
15822,33211,106
15823,63867,110
15853,11385,114
15876,38633,116
15949,50582,115
15956,13043,181
15956,28209,89
15968,41122,75
15984,47471,120
16000,39325,151
16000,39717,105
16006,26002,101
16033,9387,99
16036,22350,137
16059,58431,104
16068,8407,99
16069,4203,88
16080,14,119
16080,61194,166
16088,3078,114
16088,4281,105
16090,5127,151
16090,64023,101
16100,11550,117
16103,2365,124
16120,9598,99
16123,50658,174
16123,55257,138
16135,13675,107
16140,55965,99
16140,60755,113
16195,24426,93
16198,10772,168
16198,24428,96
16202,36885,148
16229,52932,84
16229,6304,94
16240,22002,86
16244,15140,98
16244,21328,148
16255,26426,103
16255,52526,166
16310,31825,89
16327,42680,109
16327,63843,154
16335,45046,124
16342,28711,96
16342,8736,132
16343,52163,90
16343,59240,141
16368,15406,109
16431,8901,142
16436,6305,95
16439,16607,180
16439,24212,94
1644,7854,99
16450,30471,110
16450,32436,180
16477,14489,100
16477,36052,164
16494,44612,157
16494,6130,88
16518,19539,148
16518,63666,96
16588,44803,98
16588,45575,93
16598,29128,170
16598,7980,112
